alphas,ensembling_test_accs,ensembling_test_losses,ensembling_train_accs,ensembling_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_test_accs,merging_test_losses,merging_train_accs,merging_train_losses,naive_test_accs,naive_test_losses,naive_train_accs,naive_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.2_test_accs,partial_merging_1.2_test_losses,partial_merging_1.2_train_accs,partial_merging_1.2_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.2_test_accs,partial_merging_REPAIR_1.2_test_losses,partial_merging_REPAIR_1.2_train_accs,partial_merging_REPAIR_1.2_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_1.8_train_accs,partial_merging_1.8_train_losses,partial_merging_1.8_test_accs,partial_merging_1.8_test_losses,partial_merging_REPAIR_1.8_train_accs,partial_merging_REPAIR_1.8_train_losses,partial_merging_REPAIR_1.8_test_accs,partial_merging_REPAIR_1.8_test_losses,partial_merging_2.0_train_accs,partial_merging_2.0_train_losses,partial_merging_2.0_test_accs,partial_merging_2.0_test_losses,partial_merging_REPAIR_2.0_train_accs,partial_merging_REPAIR_2.0_train_losses,partial_merging_REPAIR_2.0_test_accs,partial_merging_REPAIR_2.0_test_losses
3.109478e-18,0.0006194925,4.1944272e+21,3.2497545e-09,7.0060067e+22,3.60052e-12,0.00061970134,2.6302e+20,1.2848621e+31,3.088099e+29,1.0805615e+27,13.016924,1.7033011e+19,1.6779893e-07,7.2715853e+31,7.98023e+17,2.304945e-12,9.664659e+35,4.5926617e+24,7.930946e+34,1.8056953e+28,13.016924,2.6915513e+20,2.7447923e-06,7.1839e+22,7.98023e+17,1.0435118e-08,0.45000002,0.9915,0.036619887,0.9999667,0.00021745967,0.9797,0.11270293,0.98438334,0.07374544,0.9476,0.18841308,0.95273334,0.16405046,0.1211,0.99993336,0.0002940533,0.9905,0.04551143,0.99993336,0.00029043166,0.9901,0.04593709,0.99993336,0.000294053,0.9905,0.045496564,0.99993336,0.0002878915,0.9901,0.045829717
2.5954265e-09,1.0435118e-08,9.664659e+35,7.073364e+31,1.8058766e+28,4.46526e+30,2.744803e-06,6.913297e+28,7.09478e+22,2.5225909e-18,7.1854027e+22,3.2497545e-09,1.1446837e+24,1.8376255e+37,5.2392223e+16,2.6302e+20,2.679963e+20,7.930946e+34,3.109478e-18,0.0006194925,4.1944272e+21,3.2497545e-09,7.0060067e+22,3.60052e-12,0.00061970134,2.6302e+20,1.2848621e+31,0.5,0.9916,0.036712967,0.99995,0.00021733908,0.979,0.11599023,0.98385,0.07653986,0.9455,0.19596635,0.9511,0.17122877,0.1496,0.99993336,0.00029663648,0.9905,0.043938473,0.99993336,0.00028337876,0.9905,0.044560328,0.99993336,0.00027510175,0.9909,0.043719362,0.99993336,0.00027242035,0.9908,0.04404395
1.1966277e+22,1.2848621e+31,7.930946e+34,1.8056953e+28,3365.9626,1.0900252e+27,0.00017087237,7.1839e+22,1.2760696e-08,2.4150642e-18,9.664659e+35,7.074107e+31,1.6676382e+19,2.7685506e+20,1.0547456e-08,6.913297e+28,0.0006194925,0.0006194925,2.5954265e-09,1.0435118e-08,9.664659e+35,7.0737354e+31,1.8058766e+28,4.46526e+30,2.744803e-06,6.913297e+28,7.09478e+22,0.55,0.9918,0.03703287,0.99995,0.00021844027,0.9794,0.113423,0.9846,0.07169953,0.9475,0.19038597,0.95316666,0.16468953,0.1798,0.99993336,0.00031754537,0.9907,0.042543855,0.99995,0.00029559623,0.9908,0.043701034,0.99993336,0.00026019895,0.991,0.042118214,0.99993336,0.00025630326,0.991,0.042362016
1.6245716e+19,7.09478e+22,0.0006194925,1.896907e+31,216096050000.0,4.5442745e+30,1.8378201e+37,0.00061970134,2.3359682e-18,4.5926617e+24,7.930946e+34,1.8056953e+28,13.016924,2.6915513e+20,4.2189797e-08,7.1839e+22,7.98023e+17,1.0435118e-08,1.1966277e+22,1.2848621e+31,7.930946e+34,1.8056953e+28,3365.9626,1.0900252e+27,0.00017087237,7.1839e+22,1.2760696e-08,0.6,0.9917,0.03757723,0.99995,0.00022077814,0.9804,0.10450888,0.9867333,0.060476698,0.9529,0.17288792,0.9579333,0.14540873,0.1878,0.99993336,0.00035719012,0.9907,0.0414647,0.99995,0.00032784068,0.9908,0.04303626,0.99993336,0.00024818422,0.9913,0.040699795,0.99993336,0.00024446653,0.9911,0.040931765
1.8254179e+31,1.2760696e-08,1.0435118e-08,3.2986348e-18,6.4891896e-07,1.12586755e+24,2.7685506e+20,1.724815e-07,2.8175146e+20,3.109478e-18,0.0006194925,4.1944272e+21,3.2497545e-09,7.0060067e+22,3.6005205e-12,0.00061970134,2.6302e+20,1.2848621e+31,1.6245716e+19,7.09478e+22,0.0006194925,1.896907e+31,216096050000.0,4.5442745e+30,1.8378201e+37,0.00061970134,2.3359682e-18,0.65,0.9914,0.038338427,0.99995,0.0002244087,0.9815,0.09215667,0.9892333,0.04545145,0.9585,0.1466746,0.96595,0.116352715,0.2881,0.9999,0.00041900447,0.9908,0.04062306,0.99988335,0.00037612472,0.9906,0.04266553,0.99995,0.00023874122,0.9915,0.03947948,0.99995,0.00023659768,0.9913,0.03979731
3.299426e-18,2.3359682e-18,1.2848621e+31,1.1989008e+22,1.8179264e+31,13242039000.0,2.6915513e+20,6.5546457e-10,2.7204968e+23,2.5954265e-09,1.0435118e-08,9.664659e+35,7.074107e+31,1.8058766e+28,4.46526e+30,4.2189964e-08,6.913297e+28,7.09478e+22,1.8254179e+31,1.2760696e-08,1.0435118e-08,3.2986348e-18,4.1530813e-05,1.12586755e+24,2.7685506e+20,1.724815e-07,2.8175146e+20,0.7,0.9912,0.039306723,0.99995,0.0002294327,0.9838,0.08070171,0.99255,0.029514961,0.9666,0.11637185,0.97501665,0.08295562,0.415,0.99988335,0.00051107304,0.9908,0.040119547,0.99985,0.00044251297,0.9904,0.042439017,0.9999667,0.00023120252,0.9917,0.038466364,0.9999667,0.00022826511,0.9917,0.038752157
1.6703862e-07,2.8175146e+20,7.09478e+22,7.0975523e+22,4.1573955e+21,1.5152714e+19,7.0060067e+22,1.8376252e+37,1.9363069e+31,1.1966277e+22,1.2848621e+31,7.930946e+34,1.8056953e+28,3365.9626,1.0900252e+27,2.6847824e-06,7.1839e+22,1.2760696e-08,3.299426e-18,2.3359682e-18,1.2848621e+31,1.1989008e+22,1.8179264e+31,13242039000.0,2.6915513e+20,6.5546457e-10,2.7204968e+23,0.75,0.991,0.040474575,0.99995,0.00023600819,0.9862,0.07093715,0.9953333,0.015740842,0.9755,0.089425325,0.98413336,0.051182084,0.5545,0.99986666,0.0006199717,0.9907,0.039971557,0.99981666,0.00053839356,0.9902,0.0422757,0.9999667,0.00022562357,0.9917,0.037674237,0.9999667,0.00022344558,0.9918,0.038062736
4.009435e-08,2.7204968e+23,1.2760696e-08,10382.533,0.00061970035,1.3055426e+19,1.8058766e+28,2.7685506e+20,2.0417113e-07,1.6245716e+19,7.09478e+22,0.0006194925,1.896907e+31,216096050000.0,4.5442745e+30,1.8375602e+37,0.00061970134,2.3359682e-18,1.6703862e-07,2.8175146e+20,7.09478e+22,7.0975523e+22,4.1573955e+21,1.5152714e+19,7.0060067e+22,1.8376252e+37,1.9363069e+31,0.8,0.9909,0.041837983,0.99995,0.00024435873,0.9872,0.06274352,0.9977,0.0066073285,0.9812,0.07016894,0.99158335,0.026145091,0.744,0.99983335,0.00073162274,0.991,0.04001457,0.99978334,0.000647632,0.99,0.042381644,0.9999667,0.00022153869,0.9918,0.03709627,0.9999667,0.00021965802,0.9917,0.03740563
8.295456e+17,1.9363069e+31,2.3359682e-18,2.304945e-12,7.229877e+31,7.7135367e+31,3365.9626,2.6915513e+20,2.5323736e-12,1.8254179e+31,1.2760696e-08,1.0435118e-08,3.2986348e-18,6.3372413e-10,1.12586755e+24,2.7685506e+20,1.06056985e-08,2.8175146e+20,4.009435e-08,2.7204968e+23,1.2760696e-08,10382.533,0.00061970035,1.3271599e+19,1.8058766e+28,2.7685506e+20,2.0417113e-07,0.85,0.9906,0.04339519,0.99995,0.0002547992,0.9884,0.056603983,0.9993333,0.0021580122,0.9854,0.057712838,0.9963667,0.010310248,0.844,0.9998,0.00082752324,0.9909,0.040043958,0.99975,0.00073283334,0.9899,0.042542107,0.9999667,0.00021884573,0.9917,0.03673921,0.9999667,0.00021690699,0.9916,0.037161987
2.0076142e+29,5.1042782e-08,2.8175146e+20,2.679963e+20,3.109483e-18,1.896907e+31,216096050000.0,7.0060067e+22,2.6403695e-06,3.299426e-18,2.3359682e-18,1.2848621e+31,1.1989008e+22,1.8179264e+31,13242039000.0,2.6915513e+20,1.0739124e-05,2.7204968e+23,8.295456e+17,1.9363069e+31,2.3359682e-18,2.304945e-12,7.229877e+31,7.7135367e+31,3365.9626,2.6915513e+20,2.5323736e-12,0.9,0.9903,0.045145694,0.99995,0.00026775742,0.9891,0.05167066,0.99981666,0.0007173505,0.9885,0.04980948,0.9993167,0.0025577424,0.9694,0.99976665,0.00089760084,0.9907,0.04000682,0.99971664,0.00080687203,0.9898,0.042590592,0.9999667,0.00021743738,0.9915,0.036607794,0.9999667,0.00021571,0.9915,0.03693764
